measure_title,jurisdiction,description,County
Measure A ,Peralta Community College District,"To continue funding for community colleges in Alameda, Berkeley, and Oakland at existing tax rates, support affordable education to prepare students for jobs/ careers and university transfer; attract/ retain high quality faculty; shall Peralta Community College District's measure be adopted, reauthorizing the existing $48 per parcel annually for 9 years, providing $8,000,000 annually, with oversight, funds that cannot be taken by the state or used for administrator salaries, all benefitting local colleges?",Alameda
Bond Measure B ,Castro Valley Unified School District,"Shall the measure to improve local classrooms/ school facilities: protect student safety/ security; repair/ replace aging roofs, heating, cooling, electrical/ plumbing systems; and update classrooms/ labs for science, technology, engineering, math, core academics, career/job training, by authorizing $212,000,000 in bonds at legal rates, levying $52.30 per $100,000 of assessed value, raising approximately $14,000,000 annually while bonds are outstanding, with independent oversight and all funds staying local, be adopted?",Alameda
Measure G,Hayward Unified School District Electio,"Shall the measure to support student learning/ protect local schools from deep budget cuts by sustaining strong reading, writing, math/ science programs; attracting/ retaining qualified teachers/ staff; and supporting al students, including those with special needs, by levying a $98 parcel tax for twelve years, providing approximately $4,000,000 annually that cannot be taken by the state/ federal government, with senior exemptions, annual inflation adjustments, and independent oversight, be adopted?",Alameda
Measure H ,Piedmont Unified School District (City of Piedmont),"To maintain the high quality of Piedmont schools, continue funding programs in math, science, technology, engineering, English, music and arts, attract and retain qualified teachers, update instructional materials and technology, and maintain manageable class sizes, shall Piedmont Unified School District's measure be adopted, renewing the expiring school parcel tax at the then-current rate ($3,174 per parcel) until ended by voters, with independent citizen oversight, annual inflation adjustments, and all funds (approximately $12 million annually) benefiting local students?",Alameda
Measure C ,City of Oakland ,"Shall the measure amending Oakland's Business Tax Ordinance to provide one-year business tax exemptions for (1) certain small businesses with annual gross receipts of $1,000,000 or less, including retail sales, grocers, business and personal services, recreation and entertainment, and manufacturing, and (2) businesses that establish a new commercial location in the City; and authorizing the City Council to extend the exemptions on an annual basis for up to three additional years, be adopted?",Alameda
Measure D ,City of Oakland ,"Shall the measure amending the City Charter to, among other things, expand the eligibility for service on the Board of the Police and Fire Retirement System and reduce the frequency of the Board's mandatory meetings from monthly to no less than quarterly be adopted?",Alameda
Measure E ,City of Oakland ,"Shall the measure to: prevent increased 911 response times; maintain fire stations, fire protection services, police patrols and investigations, and gun-violence and crime prevention services; address homelessness; and remove illegal dumping and trash by imposing a parcel tax of $192 annually for single-family parcels, and other parcels as specified, exempting certain low-income and senior households and others, raising approximately $34,000,000 annually for nine years, with oversight, audits and public disclosure, be adopted?",Alameda
Measure F,City of San Leandro ,"Shall Section 225(a) of the San Leandro City Charter be amended to the following: The Mayor shall be elected by the registered voters of the City at large. All Council Members, except the Mayor, shall be elected by the registered voters of the City by district. In conformance with the California Voting Rights Act, one Council Member shall be nominated and elected from each Council Member district only by the registered voters of that district.",Alameda
AKINYEMI  AGBEDE,Governor,Mathematician,Alameda
MOHAMMAD  ARIF,Governor,Immigrants Organizer,Alameda
