measure_title,jurisdiction,description
Proposition 50,State of California,Requires temporary use of new congressional district maps through 2030. Directs independent Citizens Redistricting Commission to resume enacting congressional district maps in 2031. Establishes policy supporting nonpartisan redistricting commissions nationwide. Fiscal Impact: One-time costs to counties of up to a few million dollars statewide to update election materials to reflect new congressional district maps.
Measure B,Washington Township Health Care District,"To provide local access to the highest level of life-saving emergency and medical care for trauma patients, victims of heart attacks, strokes, accidents, and cancer, keep medical equipment and technology upto-date, reduce ER wait times; and ensure that our community has highly qualified doctors, surgeons and nurses, shall Washington Township Healthcare District’s measure levying 5 cents per square foot of improved property be adopted, generating $13,000,000 annually for 12 years for emergency healthcare, hospital, and Trauma Center services?"
Measure I,Petaluma Joint Union High School District,"To provide locally controlled funding for local junior high/ high schools that cannot be taken away by the state to attract/retain excellent teachers; enhance math, science, engineering, technology, writing programs; maintain smaller class sizes; and prepare students for college/careers, shall Petaluma Joint Union High School District’s measure be adopted levying an $129 educational parcel tax, raising $3,020,000 annually, for 8 years, with exemptions for seniors, no funds for administrators’ salaries and independent citizen oversight?"
Measure J,City of Sausalito,"Shall the measure adopting various housing overlay zones to allow housing at various income categories, including housing for seniors/families/individuals, on twelve sites in Sausalito’s commercial districts, consistent with Sausalito’s publicly reviewed and adopted Housing Element – in order to maintain compliance with State Housing Element Law, preserve local land use authority, prevent state fines, and preserve historic community character, while maintaining existing required developer fees – be adopted?"
Measure K,City of Sausalito,"Shall the measure to achieve compliance with State Housing Law mandates, by adopting a housing overlay zone allowing City-directed development on limited parts of the City-owned Martin Luther King Jr. property consistent with Sausalito’s publicly adopted Housing Element, providing capacity for no more than 50 units of housing prioritizing Sausalito’s seniors; while maintaining existing recreational, dog park, and school uses; maintaining building height limits, be adopted?"
Recall of Lisel Blash,Town of Fairfax,
Recall of Stephanie Hellman,Town of Fairfax,
Measure A,County of Santa Clara,"To help our community address severe federal cuts enacted by the President and Congress; support critical local services such as trauma, emergency room, mental health, and public safety; and reduce the risk of hospital closures at Santa Clara Valley Healthcare and other service cuts—shall the County of Santa Clara adopt a five-eighths cent (0.625%) general sales tax for 5 years, providing $330 million annually that is not available to the federal government and is subject to independent audits/oversight?"
Yan Zhao,Assessor,Appraiser/Councilmember/Mother
Rishi Kumar,Assessor,Hi-Tech CFO/ Educator
Neysa Fligor,Assessor,Assistant Assessor
Bryan Do,Assessor,"Governing Board Member, East Side Union High School District"
Measure B,Workforce Housing and Climate Protection Act of 2025,"To fund affordable housing for local workers, seniors, veterans, persons with disabilities, reduce/prevent homelessness, and increase climate resilience, shall the Santa Cruz County Association of Realtors-sponsored measure, enacting an annual parcel tax of $50 and a real estate transfer tax in the amount of 0.5% in excess of $4,000,000 (with a maximum of $100,000), with certain exemptions, providing approximately $1,100,000 annually, for 10 years, subject to oversight/audits, be adopted?"
Measure C,Workforce Housing Affordability Act of 2025,"To fund affordable housing for local workers, seniors, veterans, and persons with disabilities, and reduce/prevent homelessness, shall the Housing Santa Cruz County-sponsored measure, enacting an annual parcel tax of $96 and a graduated real estate transfer tax from 0.5% in excess of $1.8 million, up to 2% in excess of $4.5 million (with a maximum of $200,000), with certain exemptions, providing approximately $4,500,000 annually, for 20 years, subject to oversight/audits, be adopted?"
Measure I,Petaluma Joint Union High School District,"To provide locally controlled funding for local junior high/ high schools that cannot be taken away by the state to attract/ retain excellent teachers; enhance math, science, engineering, technology, writing programs; maintain smaller class sizes; and prepare students for college/ careers, shall Petaluma Joint Union High School District’s measure be adopted levying an $129 educational parcel tax, raising $3,020,000 annually, for 8 years, with exemptions for seniors, no funds for administrators’ salaries and independent citizen oversight?"
Jess Weber,Timber Cove County Water District Director,Biologist
John D. Rea,Timber Cove County Water District Director,Incumbent
Robert Leichtner,Timber Cove County Water District Director,Appointed Incumbent
John F. Gray,Timber Cove County Water District Director,Retired Firefighter
