Race,Candidate Name,Profession,Party,County
Superior Court Judge,Kevin Murphy,Incumbent,,Marin County
Superior Court Judge,Matthew Siroka,Incumbent,,Marin County
Superior Court Judge,James Schurz,Incumbent,,Marin County
Superior Court Judge,Mark Talamantes,Incumbent,,Marin County
Superior Court Judge,Ahtossa Fullerton,Incumbent,,Marin County
Assessor-Recorder-County Clerk,Shelly Scott,Assessor Recorder County Clerk,,Marin County
County Superintendent of Schools,John Carroll,Marin County Superintendent Of Schools,,Marin County
ASSESSOR-CLERK RECORDER,Tonya Mounts,Assistant Assessor,,Mendocino County
**AUDITOR-CONTROLLER,Megan Hunter,Assistant Auditor-Controller,,Mendocino County
**TREASURER-TAX COLLECTOR,Chamise Cubbison,Auditor Controller/Treasurer Tax Collector,,Mendocino County
COUNTY SUPERINTENDENT OF SCHOOLS,Nicole H. Glentzer,Incumbent,,Mendocino County
"SUPERIOR COURT JUDGE, ROOM #2",Fredricco McCurry,Appointed Incumbent,,Mendocino County
"County Supervisor, District 3",Chris Lopez,Monterey County Supervisor,,Monterey County
Assessor-County Clerk/Recorder,Marina Camacho,Incumbent,,Monterey County
Treasurer/Tax Collector,Jake Stroud,Appointed Treasurer-Tax Collector,,Monterey County
Superior Court Judge Seat 3,Kecia Lind,Appointed Superior Court Judge,,Napa County
Superior Court Judge Seat 2,Cynthia P. Smith,Superior Court Judge,,Napa County
Superior Court Judge Seat 4,Robert Stamps,Appointed Napa Superior Court Judge,,Napa County
Superior Court Judge Seat 5,Elia Ortiz,Napa Superior Court Judge,,Napa County
County Superintendent of Schools,Joshua Schultz,Appointed Napa County Superintendent of Schools,,Napa County
"Supervisor, 1st District",Joelle Gallagher,Napa County Supervisor,,Napa County
"Supervisor, 3rd District",Anne Cottrell,Napa County Supervisor,,Napa County
Treasurer-Tax Collector,Phonxay Keokham,San Joaquin County Treasurer-Tax Collector,,San Joaquin County
County Auditor-Controller,Jeffery Woltkamp,San Joaquin County Auditor-Controller,,San Joaquin County
Board of Education Trustee Area 4,Greg Leland,Retired Principal,,San Joaquin County
Board of Education Trustee Area 3,Jesus Andrade,"San Joaquin County Office of Education, Board Trustee",,San Joaquin County
San Joaquin County Superintendent of Schools,Troy A. Brown,San Joaquin County Superintendent of Schools,,San Joaquin County
Judge of the Superior Court Office 9,Gurjit Singh Srai,Appointed Incumbent,,San Joaquin County
Judge of the Superior Court Office 8,Chrishna Martinez,Superior Court Judge,,San Joaquin County
Judge of the Superior Court Office 7,Robert T. Waters,Incumbent,,San Joaquin County
Judge of the Superior Court Office 6,Michael J. Rasmussen,Superior Court Commissioner,,San Joaquin County
Judge of the Superior Court Office 5,Nicole DeVencenzi,Deputy District Attorney,,San Joaquin County
Judge of the Superior Court Office 4,Michael J. Mulvihill Jr.,,,San Joaquin County
Judge of the Superior Court Office 3,Adam Ramirez,Judge of the Superior Court,,San Joaquin County
Judge of the Superior Court Office 2,Sabrina Schneweis-Coe,Superior Court Judge,,San Joaquin County
Judge of the Superior Court Office 1,Allan F Jose,Superior Court Judge,,San Joaquin County
Treasurer-Tax Collector,Sandie Arnott,Treasurer-Tax Collector,,San Mateo County
Coroner,Robert J Foucrault,"Coroner, County of San Mateo",,San Mateo County
County Controller,Juan Raigoza,San Mateo County Controller,,San Mateo County
"Board of Supervisors, District 2",Noelia Corzo,Incumbent,,San Mateo County
"Judge of the Superior Court, Office No. 9",Rosendo Padilla,NA,,San Mateo County
"Judge of the Superior Court, Office No. 8",Mark Alan McCannon,Incumbent,,San Mateo County
"Judge of the Superior Court, Office No. 7",Amarra A. Lee,Incumbent,,San Mateo County
"Judge of the Superior Court, Office No. 6",Susan M. Jakubowski,Incumbent,,San Mateo County
"Judge of the Superior Court, Office No. 5",Elizabeth M. Hill,Incumbent,,San Mateo County
"Judge of the Superior Court, Office No. 3",Stephanie Garratt,Incumbent,,San Mateo County
"Judge of the Superior Court, Office No. 2",Don Franchi,Superior Court Judge,,San Mateo County
"Judge of the Superior Court, Office No. 1",Nancy L. Fineman,Incumbent,,San Mateo County
"Board of Supervisors, District 4",Susan Ellenberg,County Supervisor,,Santa Clara County
Assessor,Neysa Fligor,Incumbent,,Santa Clara County
Sheriff,Robert Jonsen,Incumbent,,Santa Clara County
"City of San José Council, District 1",Rosemary Kamei,"Councilmember, City Of San Jose, District 1",,Santa Clara County
"City of San José Council, District 3",Anthony Tordillos,"Councilmember, City of San José, District 3",,Santa Clara County
"Judge of the Superior Court, Office No. 1",Charles Fred Adams,Judge of Superior Court,,Santa Clara County
"Judge of the Superior Court, Office No. 2",David A. Cena,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 3",Cynthia F. Chen,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 4",Frederick Sukjong Chung,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 5",Le Jacqueline Duong,Judge of the Superior Court,,Santa Clara County
"Judge of the Superior Court, Office No. 6",Jeffrey Bard El-Hajj,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 7",Mattia M. Corsiglia,Deputy District Attorney,,Santa Clara County
"Judge of the Superior Court, Office No. 8",Matthew S. Harris,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 9",Robert B. Hawk,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 10",Jon A. Heaberlin,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 11",Audra Soriano Ibarra,Judge of Superior Court,,Santa Clara County
"Judge of the Superior Court, Office No. 12",Nicole Isger,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 13",Erik Steven Johnson,Judge of the Superior Court,,Santa Clara County
"Judge of the Superior Court, Office No. 14",Eunice Lee,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 15",Elizabeth Manassau,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 16",Stephen Manley,Judge of the Superior Court,,Santa Clara County
"Judge of the Superior Court, Office No. 17",Ann Vernice Huntley,Deputy District Attorney,,Santa Clara County
"Judge of the Superior Court, Office No. 18",Vincent Ian Parrett,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 19",Evette D. Pennypacker,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 20",Meghan Piano,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 21",Matthew Pritchard,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 22",Luis Miguel Ramos,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 23",Amber Rosen,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 24",Panteha E. Saban,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 25",Shawna Schwarz,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 26",Stuart J. Scott,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 27",Christopher Van Meir,Superior Court Judge,,Santa Clara County
"Judge of the Superior Court, Office No. 28",Helen Elizabeth Williams,Incumbent,,Santa Clara County
County Supervisor - 3rd District,Justin Cummings,Incumbent,,Santa Cruz County
County Superintendent of Schools,Faris M Sabbah,County Superintendent of Schools,,Santa Cruz County
Assessor-Recorder,Sheri Thomas,Incumbent,,Santa Cruz County
Auditor-Controller-Treasurer-Tax Collector,Laura Bowers,"Appointed Auditor-Controller, Treasurer-Tax Collector",,Santa Cruz County
County Clerk,Tricia Webber,Santa Cruz County Clerk,,Santa Cruz County
Solano County Superintendent of Schools,Nikki Parr,,,Solano County
Assessor/Recorder,Glenn Zook,,,Solano County
Auditor-Controller,Janine Harris,,,Solano County
Treasurer/Tax Collector/County Clerk,Denise Dix,,,Solano County
"Judge of the Superior Court, Office #10",David Kim,Superior Court Commissioner,,Sonoma County
County Superintendent of Schools,Amie Carter,County Superintendent of Schools,,Sonoma County
Auditor-Controller-Treasurer-Tax Collector,Amanda Ruch,Assistant Auditor-Controller,,Sonoma County
County Clerk-Recorder-Assessor,Deva Marie Proto,County Clerk-Recorder-Assessor,,Sonoma County
County Superintendent Of Schools,Alysse Castro,Alameda County Superintendent of Schools,,Alameda County
"Supervisor, 3rd District",Lena Tam,Alameda County Supervisor,,Alameda County
"Supervisor, 1st District","John ""Joya"" Gioia",County Supervisor,Non Partisan,Contra Costa County
"Supervisor, 4th District",Ken Carlson,N/A,Non Partisan,Contra Costa County
County Treasurer-Tax Collector,Dan M. Mierzwa,N/A,Non Partisan,Contra Costa County
